1.23915737,0.00965267716,0.0097928353,0.0535696383,0.0533694724
1.40057686,0.0109782816,0.0110483638,0.0535152281,0.0533516184
1.58302373,0.0124937637,0.0125258205,0.0534734032,0.0533265242
1.78923715,0.0142182711,0.0142701869,0.0534490662,0.0533630022
2.02231306,0.0161825214,0.016248787,0.0534444545,0.0535691888
2.28575073,0.0184354901,0.0182917114,0.0534823752,0.0539839922
2.58350525,0.0210036242,0.0202121924,0.0536409382,0.0543750287
2.92004691,0.0237873757,0.0222369243,0.0540009428,0.0543149598
3.30042835,0.0266003246,0.0250163633,0.0544070815,0.0539334366
3.73036037,0.0296407837,0.0284438984,0.0544661181,0.0540009665
4.21629772,0.0335007559,0.0316445429,0.0543667878,0.0541504367
4.76553594,0.0379484648,0.0354209343,0.0547302036,0.0535098351
5.38632098,0.0425001624,0.0400873023,0.0552267811,0.0528127619
6.0879729,0.047229825,0.0461918374,0.055436872,0.0515415275
6.88102587,0.052890415,0.0539768765,0.0548958497,0.0515298535
7.77738631,0.0598202356,0.0626873532,0.054245872,0.0533614825
8.7905116,0.0683932415,0.0689891408,0.0538288935,0.0562249979
9.9356122,0.0783628274,0.0739994713,0.0544343463,0.0557488683
11.2298799,0.0883311245,0.0830152222,0.0560676013,0.0523794477
12.6927461,0.0981359109,0.0962017887,0.0567584127,0.0507493638
14.3461733,0.109997453,0.109471843,0.0562239482,0.0507525914
16.2149851,0.123951875,0.12489508,0.0563436736,0.0485016496
18.3272386,0.13900817,0.145179,0.056043679,0.0486054874
20.7146459,0.156289471,0.166166006,0.0547662796,0.0528712983
23.4130501,0.176157506,0.185163205,0.0528866589,0.056767338
26.4629633,0.199953378,0.204535299,0.0494011933,0.0575710281
29.9101751,0.23085063,0.228122489,0.0467793297,0.0544496218
33.8064397,0.264717212,0.259190391,0.0491947631,0.0527019393
38.2102533,0.297385227,0.293572181,0.0517129223,0.0505878115
43.1877319,0.333940617,0.335456955,0.0491213495,0.0486116802
48.8136044,0.382860795,0.383298272,0.0457361751,0.051576153
55.1723341,0.436649893,0.431116945,0.0507620187,0.0551154812
62.3593871,0.491304492,0.485365188,0.0560053858,0.0572999827
70.4826652,0.550340524,0.541206523,0.0584433998,0.0581597499
79.6641265,0.615624547,0.612886277,0.0572266584,0.052691904
90.0416156,0.695961151,0.690967339,0.0468027716,0.0508482222
101.770934,0.797792736,0.781836615,0.0477620245,0.0442151573
115.028178,0.896837679,0.892336728,0.056593062,0.0426998668
130.012383,1.00370538,1.01115451,0.0496128134,0.0481396541
146.948515,1.149554,1.14035869,0.0313976566,0.0521187044
166.09084,1.32268712,1.28022102,0.0491687771,0.0480697666
187.72675,1.47862709,1.45360484,0.0736869354,0.0364965367
212.181073,1.64997389,1.65205985,0.0781193338,0.0394538181
239.820952,1.85251647,1.86128179,0.0682245086,0.0505046739
271.061353,2.08654238,2.08796832,0.0648215558,0.0422848883
306.371302,2.34409257,2.36079962,0.0497932196,0.0205336621
346.28092,2.65813129,2.67638228,0.0224667611,0.00300808271
391.389386,3.02685438,3.04032035,0.00781570217,-0.0196911645
442.373929,3.43540987,3.47173859,-0.00297414862,-0.0248013392
500,3.88859118,3.95423213,0,0
