628318.5307,-47.06947105+584.3301694i
669024.7611,-72.29491034+627.3549416i
712368.1845,-97.42748735+679.3603554i
758519.6539,-119.928018+740.8236543i
807661.0913,-136.3909029+810.7606457i
859986.2049,-143.5800815+885.6131805i
915701.2521,-140.7737632+959.0923161i
975025.8531,-132.1665451+1024.529703i
1038193.856,-126.3865425+1079.163311i
1105454.261,-132.2844598+1126.542524i
1177072.196,-154.5887674+1174.678686i
1253329.969,-192.5902732+1232.275919i
1334528.176,-241.0070609+1305.784208i
1420986.889,-291.5333713+1397.012338i
1513046.914,-336.3335387+1500.659601i
1611071.138,-375.1216032+1605.346331i
1715445.957,-419.7391378+1703.452688i
1826582.801,-485.264176+1802.504612i
1944919.754,-573.1660846+1921.932103i
2070923.282,-663.9515203+2074.522067i
2205090.072,-731.9024093+2243.967934i
2347948.988,-785.7332072+2390.312408i
2500063.159,-875.118057+2508.145927i
2662032.196,-1022.646058+2644.984573i
2834494.555,-1192.36355+2835.917068i
3018130.056,-1344.477749+3056.616296i
3213662.563,-1492.815144+3269.917578i
3421862.834,-1660.121405+3473.427872i
3643551.564,-1870.001091+3661.237903i
3879602.615,-2154.710506+3875.635156i
4130946.464,-2455.693148+4141.889483i
4398573.87,-2808.990365+4396.890221i
4683539.779,-3217.476383+4776.335772i
4986967.483,-3485.987322+5105.074665i
5310053.048,-3976.913069+5292.863108i
5654070.027,-4583.547286+5654.6033i
6020374.482,-5215.124873+6049.071106i
6410410.33,-5885.978079+6471.660013i
6825715.031,-6610.539732+6855.981488i
7267925.654,-7618.138789+7261.920847i
7738785.324,-8590.850092+7765.525509i
8240150.099,-9747.843909+8336.275888i
8773996.28,-11006.61317+8947.660478i
9342428.209,-12439.4976+9333.747479i
9947686.556,-14277.12173+10012.63308i
10592157.16,-16000.39771+10616.46255i
11278380.41,-18194.57627+11281.17i
12009061.32,-20612.85585+12074.11836i
12787080.1,-23195.32979+12887.26358i
13615503.59,-26449.43935+13655.84789i
14497597.3,-29996.06863+14620.81306i
15436838.32,-34095.97693+15231.85066i
16436928.98,-38780.71876+16238.95298i
17501811.5,-44052.55448+17614.58887i
18635683.47,-49653.42209+18649.55545i
19843014.45,-56548.57242+19857.13897i
21128563.54,-63990.79136+21443.19678i
22497398.19,-72852.0458+22563.52042i
23954914.13,-81953.26754+23773.12437i
25506856.66,-93167.64263+25223.99415i
27159343.31,-105584.6697+26676.98394i
28918887.93,-119963.3642+28881.10382i
30792426.36,-135755.2139+30575.901i
32787343.81,-154121.3467+32657.74696i
34911503.94,-174637.3924+34686.94253i
37173279.86,-198420.0144+36809.72105i
39581587.14,-224731.578+38880.66196i
42145918.97,-254971.2834+41152.83841i
44876383.54,-288285.4029+43887.12464i
47783743.93,-327122.2137+46462.65677i
50879460.51,-371640.5953+49077.03609i
54175736.11,-422243.7893+51852.46069i
57685564.15,-478462.3447+54953.95703i
61422779.82,-542183.4502+58887.79223i
65402114.68,-614488.4862+62447.23595i
69639254.63,-698090.4791+65878.51795i
74150901.83,-792100.4085+70246.22525i
78954840.51,-899168.4232+73256.4827i
84070007.06,-1020848.854+76770.30409i
89516564.67,-1158273.925+82269.31229i
95315982.85,-1315437.647+85856.7271i
101491122,-1492033.488+91699.72061i
108066323.6,-1696114.94+98168.1037i
115067506,-1924980.512+102573.3708i
122522266.9,-2187788.289+111531.7558i
130459991.8,-2486160.036+116849.3172i
138911969.9,-2824532.623+124701.8284i
147911517.7,-3211020.651+136781.0796i
157494110,-3649666.709+148860.3345i
167697519.9,-4149404.343+161990.5344i
178561967.8,-4721185.398+183047.1937i
190130279.4,-5369363.508+207939.5254i
202448055.5,-6110706.31+237850.7612i
215563850.7,-6949700.854+279513.1797i
229529365.6,-7914053.862+331227.231i
244399650,-9008248.642+399269.3361i
260233320.3,-10252183.57+490976.2385i
277092790.4,-11670884.63+608807.5i
295044517.8,-13279111.37+766219.727i
314159265.4,-15109137.78+963662.0522i
