   1.48000,   1.55668,  -1.20937
   1.49000,   1.56280,  -1.21684
   1.50000,   1.56845,  -1.22491
   1.51000,   1.57593,  -1.23300
   1.52000,   1.58293,  -1.24158
   1.53000,   1.59072,  -1.25099
   1.54000,   1.59921,  -1.26139
   1.55000,   1.60679,  -1.27221
   1.56000,   1.61416,  -1.28317
   1.57000,   1.62027,  -1.29501
   1.58000,   1.62597,  -1.30541
   1.59000,   1.63207,  -1.31569
   1.60000,   1.63771,  -1.32582
   1.61000,   1.64290,  -1.33706
   1.62000,   1.64822,  -1.34949
   1.63000,   1.65286,  -1.36169
   1.64000,   1.65718,  -1.37339
   1.65000,   1.66209,  -1.38501
   1.66000,   1.66816,  -1.39771
   1.67000,   1.67390,  -1.41097
   1.68000,   1.67785,  -1.42322
   1.69000,   1.68073,  -1.43475
   1.70000,   1.68442,  -1.44646
   1.71000,   1.68883,  -1.45714
   1.72000,   1.69245,  -1.46710
   1.73000,   1.69488,  -1.47622
   1.74000,   1.69777,  -1.48547
   1.75000,   1.70095,  -1.49469
   1.76000,   1.70316,  -1.50206
   1.77000,   1.70621,  -1.50900
   1.78000,   1.71019,  -1.51733
   1.79000,   1.71432,  -1.52468
   1.80000,   1.71651,  -1.53138
   1.81000,   1.71750,  -1.53802
   1.82000,   1.71850,  -1.54470
   1.83000,   1.71961,  -1.55117
   1.84000,   1.72038,  -1.55721
   1.85000,   1.72225,  -1.56351
   1.86000,   1.72488,  -1.57061
   1.87000,   1.72741,  -1.57727
   1.88000,   1.73042,  -1.58412
   1.89000,   1.73388,  -1.59157
   1.90000,   1.73732,  -1.59868
   1.91000,   1.74050,  -1.60640
   1.92000,   1.74441,  -1.61455
   1.93000,   1.74851,  -1.62191
   1.94000,   1.75296,  -1.62790
   1.95000,   1.75670,  -1.63381
   1.96000,   1.76077,  -1.63951
   1.97000,   1.76495,  -1.64527
   1.98000,   1.76783,  -1.65086
   1.99000,   1.76958,  -1.65489
   2.00000,   1.77050,  -1.65867
   2.01000,   1.77160,  -1.66301
   2.02000,   1.77211,  -1.66715
   2.03000,   1.77120,  -1.67091
   2.04000,   1.76961,  -1.67421
   2.05000,   1.76815,  -1.67808
   2.06000,   1.76801,  -1.68237
   2.07000,   1.76796,  -1.68870
   2.08000,   1.76730,  -1.69496
   2.09000,   1.76521,  -1.69939
   2.10000,   1.76210,  -1.70251
   2.11000,   1.75707,  -1.70215
   2.12000,   1.74916,  -1.69817
   2.13000,   1.73999,  -1.69315
   2.14000,   1.73005,  -1.68723
   2.15000,   1.72057,  -1.68123
   2.16000,   1.71175,  -1.67709
   2.17000,   1.70189,  -1.67268
   2.18000,   1.69124,  -1.66790
   2.19000,   1.68001,  -1.66275
   2.20000,   1.66807,  -1.65712
   2.21000,   1.65590,  -1.65119
   2.22000,   1.64255,  -1.64468
   2.23000,   1.62839,  -1.63746
   2.24000,   1.61418,  -1.62935
   2.25000,   1.59984,  -1.61955
   2.26000,   1.58442,  -1.60811
   2.27000,   1.56843,  -1.59533
   2.28000,   1.55269,  -1.58150
   2.29000,   1.53747,  -1.56835
   2.30000,   1.52316,  -1.55609
   2.31000,   1.50843,  -1.54410
   2.32000,   1.49410,  -1.53181
   2.33000,   1.48023,  -1.51981
   2.34000,   1.46637,  -1.50806
   2.35000,   1.45286,  -1.49564
   2.36000,   1.43877,  -1.48318
   2.37000,   1.42355,  -1.47065
   2.38000,   1.40877,  -1.45750
   2.39000,   1.39505,  -1.44594
   2.40000,   1.38192,  -1.43471
   2.41000,   1.36904,  -1.42348
   2.42000,   1.35606,  -1.41295
   2.43000,   1.34332,  -1.40296
   2.44000,   1.33052,  -1.39408
   2.45000,   1.31973,  -1.38625
   2.46000,   1.31029,  -1.38043
   2.47000,   1.30089,  -1.37450
   2.48000,   1.29136,  -1.36900
   2.49000,   1.28127,  -1.36404
   2.50000,   1.26963,  -1.35927
   2.51000,   1.25672,  -1.35298
   2.52000,   1.24214,  -1.34606
   2.53000,   1.22797,  -1.33982
   2.54000,   1.21535,  -1.33408
   2.55000,   1.20214,  -1.32803
   2.56000,   1.18741,  -1.32304
   2.57000,   1.17353,  -1.31881
   2.58000,   1.15945,  -1.31508
   2.59000,   1.14512,  -1.31182
   2.60000,   1.13062,  -1.30809
   2.61000,   1.11503,  -1.30354
   2.62000,   1.09875,  -1.29771
   2.63000,   1.08145,  -1.29146
   2.64000,   1.06313,  -1.28504
   2.65000,   1.04497,  -1.27939
   2.66000,   1.02744,  -1.27510
   2.67000,   1.00929,  -1.27009
   2.68000,   0.99079,  -1.26499
   2.69000,   0.97317,  -1.25913
   2.70000,   0.95522,  -1.25335
   2.71000,   0.93749,  -1.24825
   2.72000,   0.91989,  -1.24235
   2.73000,   0.90356,  -1.23687
   2.74000,   0.88926,  -1.23234
   2.75000,   0.87477,  -1.22750
   2.76000,   0.86055,  -1.22258
   2.77000,   0.84730,  -1.21669
   2.78000,   0.83214,  -1.21149
   2.79000,   0.81756,  -1.20638
   2.80000,   0.80402,  -1.20221
   2.81000,   0.79127,  -1.19937
   2.82000,   0.77911,  -1.19729
   2.83000,   0.76723,  -1.19367
   2.84000,   0.75537,  -1.18817
   2.85000,   0.74464,  -1.18126
   2.86000,   0.73431,  -1.17394
   2.87000,   0.72442,  -1.16665
   2.88000,   0.71369,  -1.15901
   2.89000,   0.70289,  -1.14989
   2.90000,   0.69167,  -1.14221
   2.91000,   0.68161,  -1.13581
   2.92000,   0.67390,  -1.13009
   2.93000,   0.66582,  -1.12501
   2.94000,   0.65833,  -1.11777
   2.95000,   0.64925,  -1.10953
   2.96000,   0.63993,  -1.09965
   2.97000,   0.63204,  -1.08867
   2.98000,   0.62329,  -1.07737
   2.99000,   0.61389,  -1.06431
   3.00000,   0.60422,  -1.05150
   3.01000,   0.59482,  -1.03930
   3.02000,   0.58551,  -1.02813
   3.03000,   0.57747,  -1.01735
   3.04000,   0.56948,  -1.00534
   3.05000,   0.56041,  -0.99193
   3.06000,   0.55042,  -0.97876
   3.07000,   0.54007,  -0.96606
   3.08000,   0.53070,  -0.95290
   3.09000,   0.52219,  -0.94083
   3.10000,   0.51472,  -0.93024
   3.11000,   0.50792,  -0.91970
   3.12000,   0.50058,  -0.91023
   3.13000,   0.49315,  -0.89990
   3.14000,   0.48523,  -0.88811
   3.15000,   0.47749,  -0.87680
   3.16000,   0.46993,  -0.86557
   3.17000,   0.46286,  -0.85393
   3.18000,   0.45604,  -0.84246
   3.19000,   0.44999,  -0.83047
   3.20000,   0.44329,  -0.81820
   3.21000,   0.43587,  -0.80456
   3.22000,   0.42738,  -0.79066
   3.23000,   0.41854,  -0.77790
   3.24000,   0.41029,  -0.76633
   3.25000,   0.40215,  -0.75493
   3.26000,   0.39381,  -0.74365
   3.27000,   0.38557,  -0.73205
   3.28000,   0.37705,  -0.72010
   3.29000,   0.36941,  -0.70877
   3.30000,   0.36206,  -0.69742
   3.31000,   0.35419,  -0.68370
   3.32000,   0.34482,  -0.66816
   3.33000,   0.33328,  -0.65244
   3.34000,   0.32079,  -0.63523
   3.35000,   0.30705,  -0.61800
   3.36000,   0.29432,  -0.60147
   3.37000,   0.28262,  -0.58535
   3.38000,   0.27152,  -0.56824
   3.39000,   0.25931,  -0.55132
   3.40000,   0.24746,  -0.53381
   3.41000,   0.23463,  -0.51648
   3.42000,   0.22240,  -0.49872
   3.43000,   0.21084,  -0.48214
   3.44000,   0.20024,  -0.46724
   3.45000,   0.19139,  -0.45291
   3.46000,   0.18160,  -0.43905
   3.47000,   0.17216,  -0.42436
   3.48000,   0.16230,  -0.40969
   3.49000,   0.15023,  -0.39496
   3.50000,   0.13766,  -0.37895
   3.51000,   0.12503,  -0.36263
   3.52000,   0.11369,  -0.34669
   3.53000,   0.10265,  -0.33275
   3.54000,   0.09129,  -0.31990
   3.55000,   0.07976,  -0.30642
   3.56000,   0.06682,  -0.29328
   3.57000,   0.05319,  -0.27934
   3.58000,   0.03871,  -0.26329
   3.59000,   0.02347,  -0.24466
   3.60000,   0.00773,  -0.22559
   3.61000,  -0.00688,  -0.20788
   3.62000,  -0.02105,  -0.18988
   3.63000,  -0.03584,  -0.17086
   3.64000,  -0.05064,  -0.15072
   3.65000,  -0.06563,  -0.13033
   3.66000,  -0.08044,  -0.11093
   3.67000,  -0.09557,  -0.09207
   3.68000,  -0.11069,  -0.07244
   3.69000,  -0.12656,  -0.05214
   3.70000,  -0.14265,  -0.03149
   3.71000,  -0.15903,  -0.01076
   3.72000,  -0.17475,   0.01060
